id,id_name,Platform,Category,Cookie_or_Data_Key_name,Domain,Description,Retention_period,Data_Controller,User_Privacy_and_GDPR_Rights_Portals,Wildcard_match
34,256c3dc8-d881-11e9-8a34-2a2ae2dbcce4,Adobe Audience Manager,Marketing,demdex,Advertiser's website domain (1st party) or demdex.net (3rd party),"Unique value with which Audience Manager can identify a user. Used, among others, for identification, segmentation, modeling and reporting purposes.",180 days after last activity or 10 years when opting out,Adobe,https://www.adobe.com/nl/privacy.html,0
35,256c3efe-d881-11e9-8a34-2a2ae2dbcce4,Adobe Audience Manager,Marketing,dextp,Advertiser's website domain (1st party),Registers the date plus time (timestamp) on which a data synchronization was last performed by the Audience Manager.,180 days after last activity ,Adobe,https://www.adobe.com/nl/privacy.html,0
36,256c4034-d881-11e9-8a34-2a2ae2dbcce4,Adobe Audience Manager,Marketing,dst,Advertiser's website domain (1st party),Used to register a possible error message when sending data to a linked system.,180 days after last activity or 10 years when opting out,Adobe,https://www.adobe.com/nl/privacy.html,0
37,256c43e0-d881-11e9-8a34-2a2ae2dbcce4,Adobe Audience Manager,Marketing,_dp,Advertiser's website domain (1st party) or demdex.net (3rd party),Used to determine if browser of user accepts cookies or not,30 seconds,Adobe,https://www.adobe.com/nl/privacy.html,0
38,6ca755d4-8ecc-4031-a28e-b6d42235fb38,Adobe Audience Manager,Marketing,aam_uuid,Advertiser's website domain (1st party),Adobe Audience Manager - data management platform uses these cookies to assign a unique ID when users visit a website.,1 month,Adobe,https://www.adobe.com/nl/privacy.html,0
39,a4b664ae-feb8-4ce4-9f21-27ac382d4702,Adobe Audience Manager,Marketing,AMCV_,Advertiser's website domain (1st party),Adobe Experience Cloud uses a cookie to store a unique visitor ID that is used across Experience Cloud Solutions.,2 years,Adobe,https://www.adobe.com/nl/privacy.html,1
40,fc79d591-2969-4609-85d9-3750faa5d5fb,Adobe Audience Manager,Marketing,AMCVS_,Advertiser's website domain (1st party),The AMCVS cookie serves as a flag indicating that the session has been initialized. Its value is always 1 and discontinues when the session has ended.,Session,Adobe,https://www.adobe.com/nl/privacy.html,1
41,795dc59a-1c7c-4bde-9ea8-53268889840b,Adobe Audience Manager,Marketing,mbox,Advertiser's website domain (1st party),Adobe Target uses cookies to give website operators the ability to test which online content and offers are more relevant to visitors.,2 years,Adobe,https://www.adobe.com/nl/privacy.html,0
42,0b7e888e-67e1-416d-bea1-d574fd2bdc91,Adobe Audience Manager,Functional,at_check,Advertiser's website domain (1st party),A simple test value used to determine if a visitor supports cookies. Set each time a visitor requests a page.,session,Adobe,https://www.adobe.com/nl/privacy.html,0
43,2932ef1f-14ec-4003-91d6-959f68914913,Adobe Audience Manager,Functional,renderid,Advertiser's website domain (1st party),This cookie is needed by the dispatcher (webserver) to distinguish between the different publisher server.,session,Adobe,https://www.adobe.com/nl/privacy.html,0
44,59604f12-af2c-4e48-a0c9-8b295845f0ce,Adobe Analytics,Analytics,s_ppv,Advertiser's website domain (1st party),Stores information on the percentage of the page displayed,session,Adobe,https://www.adobe.com/nl/privacy.html,0
45,85f9f4ca-4805-487e-a4db-11d707aec6b7,Adobe Analytics,Analytics,s_tp,Advertiser's website domain (1st party),This lets us know how much of the page you viewed.,session,Adobe,https://www.adobe.com/nl/privacy.html,0
46,256c453e-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,TPC,adform.net (3rd party),Used to determine if browser of user accepts third party cookies or not,14 days,Adform,https://site.adform.com/privacy-center/overview,0
47,256c4714-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,C,adform.net (3rd party),Used to determine if browser of user accepts cookies or not,60 days till 3650 days,Adform,https://site.adform.com/privacy-center/overview,0
48,256c489a-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,uid,adform.net (3rd party),Contains a unique ID to identify a user,60 days,Adform,https://site.adform.com/privacy-center/overview,0
49,256c49e4-d881-11e9-8a34-2a2ae2dbcce4,Adform,Marketing,cid,adform.net (3rd party),Unique value to be able to identify cookies from users (same as uid),60 days,Adform,https://site.adform.com/privacy-center/overview,0


























































































































































































































































































































































































































































